,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Collinsella aerofaciens,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides massiliensis,Bacteroides ovatus,Bacteroides salyersiae,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides vulgatus,Bacteroides xylanisolvens,Bacteroidales bacterium ph8,Barnesiella intestinihominis,Coprobacter fastidiosus,Odoribacter splanchnicus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides merdae,Parabacteroides unclassified,Paraprevotella clara,Paraprevotella unclassified,Prevotella copri,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes unclassified,Streptococcus salivarius,Clostridium bolteae,Clostridium citroniae,Clostridium clostridioforme,Clostridium hathewayi,Clostridium leptum,Clostridium nexile,Clostridium symbiosum,Flavonifractor plautii,Eubacterium eligens,Eubacterium hallii,Eubacterium rectale,Eubacterium siraeum,Eubacterium sp 3 1 31,Eubacterium ventriosum,Ruminococcus gnavus,Ruminococcus obeum,Ruminococcus torques,Coprococcus comes,Dorea longicatena,Lachnospiraceae bacterium 1 1 57FAA,Lachnospiraceae bacterium 3 1 46FAA,Roseburia hominis,Roseburia intestinalis,Roseburia inulinivorans,Roseburia unclassified,Oscillibacter unclassified,Peptostreptococcaceae noname unclassified,Faecalibacterium prausnitzii,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus lactaris,Subdoligranulum unclassified,Coprobacillus unclassified,Acidaminococcus unclassified,Dialister invisus,Veillonella atypica,Veillonella dispar,Veillonella parvula,Veillonella unclassified,Burkholderiales bacterium 1 1 47,Parasutterella excrementihominis,Sutterella wadsworthensis,Bilophila unclassified,Escherichia coli,Escherichia unclassified,Klebsiella pneumoniae,Haemophilus parainfluenzae,Akkermansia muciniphila,C2likevirus unclassified
HSM7J4IC,0,0,0.0023329,0.0004932,0.0005279,0.0001339,0,0.0761812,0,4.23E-05,0,0,0,0,0.1679,0,0.0001214,0.0161269,0.160585,0.0005651,3.13E-05,0,0.030337,0,0.0174952,0.0007901,0,0.101609,0,0.0184309,0.040986,0,0.0025019,0.0846939,5.45E-05,0.0001099,0.0136199,0,0.0031437,0,0,0.0002589,0.0009875,0,0.0020811,0.0009869,0,0,0.124972,0,0,0,0,0.0001104,0.0021121,0,0.0003906,0,0,0,0.0003063,0,0.0047505,0.0033906,0,0.0823106,0.0069675,0,0,0.0065771,0,0,0.0020583,0,0,0.0077852,0,0.0016483,0.0008608,0,0.0021067,0,0,0,2.15E-05,0,0
HSM7J4IS,0,0,0,0,0,0.0001229,0,0.0001787,0,4.83E-05,0,0.336677,0,0,0.123748,0,0.113268,0.025756,0.047582,1.87E-05,0.0181883,0,0,0,0,0.0001236,0,0.000231,0.0364222,0,0,0,0.0020887,0.0089886,0,0,0.0057119,0,0.0131772,0,0,0,0,0,0.0001356,0,0,0.0004933,0.0717206,0,0,0,0.0002528,0.0005345,0.0095804,0.0013199,0.0004195,0,0.0064751,0.0013051,1.31E-05,0.0193268,0,0.00092,0,0.045742,0,0,0,0.0358241,0,0,0.0467279,0,3.57E-05,0.0002652,0.0003437,0.0082356,0.0089093,0,0,0,0,0,0,0.0005093,0.0036508
HSM7J4IU,0,0,0.0008395,4.21E-05,0.0001886,0.0604787,0.0068694,0.0616177,0,0,0,0.003835,0,4.00E-05,0.0073161,0,0.0863034,0.007439,0.0277755,0.0002978,0.0016594,0,0,0,0.0088082,0.0132922,0,0.0648577,0,0,0,0,0.0088044,0.0313406,0.0729605,0.0158583,0,0,0,0,0,0,0.0007623,0,0,0,0.017395,0.0003553,0.0803708,0.108874,0,0,0.001157,0.0006692,0.0024504,0.0005242,0.000458,0,0.0040493,0.0022889,0.0066067,0.0012797,0,0.0037528,0.0002766,0.167588,0.0092065,6.50E-05,0.0022143,0.0134618,0,0.0469833,0.0066334,0,0,0.00041,0.0002981,0.0009127,0.0009972,0,0.0006759,0.0005963,0.000494,0,0.0003177,0.0002839,0
HSM7J4J7,0,0,0.000565,0.0005899,0,0.0879593,0,4.70E-06,1.60E-05,0.122511,0,0.0415094,0,0.0001098,0.0370263,0,0.0003054,0,0.0623073,0.319965,0.005819,0,0,0,0.0057541,0,0,0.0446369,0,0,0,0,0.0004323,0,0,0.0019856,0,0,0.0055855,0.0002925,0.0001,0.0001822,0,0,0,0,0,0.0013033,0.0125581,0,1.07E-05,0.0006704,0.0016919,0.0002647,0.0048951,0,0.0019721,0.0197603,0.0007752,4.82E-05,0,0.0015408,0.0001938,0,0,0.0286733,0,0,0,0.012255,9.64E-05,0,0,0.0004253,0,0,0.000214,0.0018289,0.0021116,0,0,0.0203872,0.0002968,0,3.39E-05,0,0
HSM7J4JF,0,0,0.0004233,0,0,0.159009,0,1.19E-05,0,0.022103,0,0.0152608,0,0,0.0804039,0,0,0,0.110872,0.141189,0.0066563,0.0003362,0,0,0.025065,0,0,0.0307678,0.0323751,0,0,0,0.095228,0,0,0.0241107,0,0,0.0005957,4.31E-05,0.0003517,0.0001962,0,0.0002168,0.0011227,0.0005171,0,0.0016647,0.0175898,0,3.23E-05,0.004838,0.0022655,0.0003989,0.004808,0,0.0011972,0.0108263,0.0002677,0,9.00E-06,0.0008359,0,0.0005571,0,0.049103,0,0,0,0.0089453,8.03E-05,0,0,0,0,0,3.33E-05,0.0008083,0.0011,0,0,0.0059034,0,0,0,1.64E-05,0.0006039
HSM7J4JZ,0.0096985,0.0139126,0.0027059,0,0.0109776,0.0035747,0.0001612,0,0.037375,0,0,0,0,0.0343738,0.0019955,0,0.0833333,0,0.0327775,0.0347549,0.0021439,0,0,0,0,0.0096806,0,0.0001517,0,0,0,0,0,0,0.0105373,0.0005219,0,0.0032241,0.0007561,0,0,0,0,0,0,0,0.0021992,0,0.34705,0,0,0,0,0.0090743,0.0231114,0.0034763,0.0625633,0.0026802,0,0,0.0004018,0,0.0019991,0.0075754,0,0.184359,0,0,0,0.0007917,0,0,0,0.0033229,0.0002312,0.0016973,0.00589,0.0095761,0.00013,0,0,0,0,0,0.0057283,0,0.0288097
HSM7J4K8,0.0036255,0.0026763,0.0019866,0,0.0025765,0.0086736,0.0006807,0,0.0304006,0,0,0.000161,0,0.0133514,0.0064519,0,0.0926511,6.57E-05,0.0403854,0.0079468,0.0006718,0,0,0,0,8.33E-05,0,0.0053576,0.0190548,0,0,0.0028982,0,0,0.0233258,0.0021903,0,0.0001772,0.0004551,0,0,0,0,0,0,0.0003245,0.0012498,0,0.23913,0,0,0,0,0.0025201,0.0174036,0.0035143,0.0129662,0,0,0,0.0192167,0,0,0.0039451,0.0016009,0.115004,0,0,0,0.265309,0,0,0.0031538,0,0,0,0,0.0151923,0.0016359,0,0,0,0,0,0,0,0.0193466
HSM7J4KC,0,0.0004639,0.0001065,0,0.0002467,0.0085216,0,0.0020805,0,0.0018387,0.0081759,0.0056718,0,0.0408684,0.0049358,0,0.0105278,0,0.0023591,0.0331539,0.0018575,0.0005105,0.0063269,7.89E-05,0,5.46E-05,0,0.0083711,0,0.0012053,0.0032363,0.624035,0.0004035,0.0001713,0.0084839,0.0010895,0,0,0,0,0,0.0002711,0,5.21E-05,0,0,0.0022731,0,0.0144098,0.0004854,0,0.0001438,0.0017103,0.0011159,0.0022422,2.33E-05,0.0005409,0,0,0,0,1.83E-05,6.87E-05,0.0001542,0,0.0599051,0,0,0,0.0094809,0.0001,1.84E-05,0,0,0,0,7.60E-06,0,0,0.0092661,0.000271,0.0057067,0.0003031,0,0.0001414,0.0002653,0
HSM7J4KK,0.0007993,0.0079757,0.0002107,0,0.0021829,0.0941131,0.0008001,0.0101217,0,0.0030087,0.0073906,0.118094,0,0.0596688,0.0047456,0,0.0193508,0,0.0108996,0.0555459,0.0023036,0.0020428,0.0390867,0.0008421,0.0101514,4.00E-06,0,0.0267614,0,0.0023223,0.0046794,0.0070066,0.0015681,0.0005563,0.0324418,0.0036161,0,0,0.0016347,0.0002059,0,0.0054236,0.0024065,0.0011498,0.0001976,1.21E-05,0.0006238,0.0035258,0.0444679,0.002445,0,0.0001251,0.0007358,0.0111777,0.0095547,0.0004927,0.0049698,0,0.001705,2.40E-06,0,0,0.0003311,0.0018744,0,0.0292439,0,0.0003207,0,0.023975,0,4.66E-05,0,0,0,0,0,1.13E-05,0,0.0064071,0.0017708,0.0072529,0.0004264,0,0.0003091,0.0126808,0
HSM7J4KQ,0.0005311,0,7.48E-05,0,0,0.120473,0,0,0,0,0,0,0,0,0.0555692,0,0.347157,0,0.119991,0.0250042,0.0088629,0,0,0,0,0,0,0,0.0282074,0,0,0,0.0035315,0.0239788,0,0,0.0073092,0,0.0004052,0,7.63E-05,5.11E-05,0,0,0.0004014,0.0003579,0.0003043,0.0003793,0.0368755,0,0,0,0,0.000465,0.0006616,4.73E-05,0.0004963,9.65E-05,0.002352,0.000871,0.0246686,0.002309,0,0.0024249,0.0002413,0.164174,0,0,0.0006419,0.0109125,0,0,0.0039136,0.0004049,0,0.0006216,3.70E-06,0,0,0,0,0.0009285,0.0004881,0.000431,0,0,2.41E-05
HSM7J4L9,0,0,0,0,0,0,0,0,3.85E-05,0,0,0,0,9.69E-05,7.20E-05,0,0.265045,3.05E-05,0.259907,0.0600184,0.0010564,0,0,0,0,0,0,0.0496176,0,0,0,9.10E-05,0,0,1.79E-05,0,0,0,0.0007319,8.37E-05,0.0265269,0.0024207,0,0.0011446,0.0012785,0.001436,0.0030543,0,0.0001609,0,0.0064493,0,0.0022614,0,0.0052242,0,0,0,0,0,0.0010012,0.0055306,8.46E-05,0.0012901,0,0.076957,0,0,0,0.0025625,3.22E-05,0,0.041014,1.32E-05,1.52E-05,0.0046051,0.0026598,0,0,0,0.0044476,0.017263,0,0,0,0,0
HSM7J4LD,3.60E-06,0,0.0006969,0,0.0005698,0,0,0,0,0,0,0,0,7.70E-06,0.209231,0,0.491861,0,0,0.0870444,0,0,0,0,0,0,0,0.0986116,0,0,0,9.80E-05,0,0,0,0,0,1.69E-05,0.0015014,0.0001882,0.0009432,0.0003159,0,0,0.0003759,0.0047291,0,0,0.0616802,0,0,0,0.0029586,0,0.0032428,0.0003529,0.0005651,0,0,0,0.0030194,0.0001913,0,0,0,8.49E-05,0,0,0,9.52E-05,0.0001012,0,0,0,0,0.000794,0,0,0,0,0,0.0079705,0.0010991,0.000197,0,0,0.0156596
HSM7J4LN,0,0,0.0009644,0,0.0010237,0,0,0,0,0,0,0,0,0,0.102228,0,0.216524,0,0,0.145913,0,0,0,0,0,0,0,0.14039,0,0,0,0,0,0,0,0,0,0,0.003338,5.99E-05,0.0002124,0.0011107,0,0,0.0007451,0.0027977,0,0,0.20765,0,0,0,0.0035679,0,0.0168667,0,0.0004786,0,0,0,0.0024592,0,0.0028846,0,0,0.0622988,0,0,0,0.0055855,0.0005498,0,0,0,0,0.0011966,8.39E-05,0,0,0,0,0.0064988,0,0.0049375,0.0335333,0,6.83E-05
HSM7J4M4,0.0853377,0.0083688,0.0070727,0,0.0531184,0,0,0,0,1.48E-05,0,0,0.0001113,0.0025098,0.0032867,0,0.0058311,0.0002683,0.0151536,0.0608061,0,0,0.0024311,0,0,0,0.0005642,0.0005022,0.0004821,0,0,0.0001053,0,0.0009432,0.0049918,4.75E-05,0,0.0055698,0,0,0,0,0,0,0.0071352,0,0.0102318,0.0010264,0.0810274,0.0020639,0,0,0,0.0016753,0.0036895,0.0133529,0.010953,0,0,0,0,0.0004398,6.93E-05,0.0251672,0.0015272,0.312323,0,0,0,0.0547908,0,0,0,0.0015935,0.0002977,0.0014493,0.0105316,0,0,0.0185095,0.0014823,0.0077364,0.0030481,0,0.0398112,0,0
HSM7J4ME,0.0674197,0.0107163,0.0059787,0,0.061961,0,0,1.46E-05,0,1.28E-05,0,0,0,0.0075778,0.0040263,0,0.0609366,7.78E-05,0.0248075,0.0257459,4.81E-05,0.0003722,0.0042008,0,0,5.70E-06,0,0.0030041,0,0,0,0.0005331,0,9.19E-05,0.0179477,0.000349,0,0.0059118,0.0001398,3.00E-06,2.03E-05,4.27E-05,5.95E-05,0,0.000345,0,0.008505,0.0009757,0.123491,0.0001714,0,0.0004477,0,0.0012281,0.001202,0.0075776,0.0062936,0,0,0.0002932,0,0.0017282,0,0.0140418,0,0.271671,0,0,0,0.062013,0,0,0,0.0001475,6.69E-05,0.0015329,0.0015339,0.0004813,0.000615,0.0125418,0.0019097,0.0013597,0.000329,0,0.0606169,0,0
HSM7J4MK,0,0,0.0004539,0,0.0001021,0.0582534,0,0.0024343,0,0.0231061,0,0.0003145,0,0,0.002829,0,0.102666,0.0003445,0.0075593,0.0838543,0.0003466,0.0023371,0.0504916,0,0.0092422,0.005013,0,0.0177174,0,0,0,0,0.0321669,0.0010923,0.0929335,0.0225613,0,0,0.0001668,0,0,1.02E-05,3.78E-05,0.0022272,6.00E-05,0.0008835,0,0.0003365,0.124134,0.0005239,0.0003994,0,0.000279,0.0006434,0.013896,0.0003193,0,0,0.0001628,0.0019967,0,0,0,0.0128616,0,0.020486,0.0046489,0.000529,0,0.023016,0,0,0,0,0,0,0,0.0003193,0.0025469,0,0.0024172,0.0001186,0.0002109,0,0,0.0088127,2.35E-05
HSM7J4MS,0,0,0.0064492,0.003884,0,0.0626804,0,0.0486675,0,4.77E-05,0,0.0037282,0,0,0.37954,0,0.0013635,0.0005788,0.0773427,3.84E-05,0.018997,0,0.0068409,0,0.0135585,0.0028161,0,0.138154,0.0404343,0.0116204,0.0244549,0,0.0021901,0.0038571,0,0,0.0073992,0,0.0104618,0,0,0.0004448,0.0335466,0,0.0017728,0.0001664,0,0,0.0040696,0,0,0,0.0147256,0.0002869,0.0047713,0,1.69E-05,0,0.0001179,0,0,0,0.0001427,0.0061082,0,0.0431233,3.18E-05,0,0,0.0085813,0,0,0.0003148,0.0001035,0,0.0041811,0.0003536,0.0011792,0.0019193,0,0.0008641,0,0,0,0.000507,0,0
HSM7J4MY,0,0,0,0,7.00E-06,0.0553156,0,0.0077003,9.20E-06,0.0047889,5.29E-05,0.0407626,0,5.57E-05,0.0006112,0,0.0006159,0.0728975,0.0806011,0.0527662,0.0005836,1.17E-05,0,0.0077746,0.0081706,0,0.0028838,0.02352,0,0,0,0.462106,0,0.002404,0.0328655,0.0012742,0,0,0.000126,0,0,0,0,0,0,0.0004476,0,0,0.0011802,0,0,0,0,4.64E-05,0.0024117,0,0.000113,0,0.002839,0.001175,5.10E-05,0,0.0006,0.0009133,0,0.0726234,0,0,0,0.0488039,0,0,0,0,0,0,4.90E-06,0,0,0,0.0017131,0.0058611,0,0,0.0005345,0,0.0001917
HSM7J4N4,0,0,0,0,0.0002311,0.0492073,0,0.014237,0,0.0036607,2.11E-05,0.0300001,0,0,0.0017061,0,0.0003014,0.0562789,0.0850575,0.056777,0.0009398,0.000368,0,0.0082075,0.0100645,4.33E-05,0.0016041,0.0074138,0,0,0,0.236447,0,0.0019863,0.0618047,0.0108182,0,0,6.27E-05,0,0,0,0,0,0,0.0019383,0.0005123,0,0.0023255,8.90E-06,0,0,0,0.0006049,0.0160848,0,0.0012586,0,0.0103607,0.0153073,0,0,0,0.0014174,0,0.14342,8.23E-05,0,0,0.106731,0,0,0,0,0,0.0001281,0.0004092,0,0,0,0.0142976,0.0171879,0,0,0.0018842,0,0
HSM7J4NA,0,0,0,0,0.0001991,0.107117,0,0.0149653,0,0.0040909,2.67E-05,0.0295588,0,0,0.0022509,0,7.80E-05,0.0920415,0.0941967,0.0707194,0.0035302,0.0013446,0,0.0073811,0.0125228,0,0.0020087,0.0320721,0,0,0,0.184586,0,0.0037123,0.0479748,0.0047662,0,0,0.0009541,0,0,2.64E-05,0.0001208,0,0,0.0026532,0.0038519,0,0.0002266,0,0,8.80E-06,0,0.0004348,0.0099896,0,0.0006141,0,0.0028273,0.0015925,0,3.83E-05,0.0066864,0.0047544,0.0004135,0.103657,4.87E-05,0,0,0.0831587,0,0,0,0,0,0,0,0,0,0,0.0087464,0.0355295,0.0010042,0,0.0003299,0,0.0004852
HSM7J4NE,0.0012465,0,0.0024973,0.0084085,0,0,0,0,0,0,0,0.0392638,0,0,0.0644111,0,0.150961,0.0259353,0.0496609,0.234299,0.0025208,0,0,0,0.0374595,0.0006906,0.0065765,0,0.0556993,0,0,0,0.0066784,0.0678427,0,0.0273145,0,0.0001645,0.0016521,0,0,0.0001255,0.0017347,0,0.0064684,0,0.0172922,0.0016857,0,0,0.002225,0.0019215,0,0.002724,0.0062243,0.0052392,0.0136624,0,0.003432,0.000115,0.0007617,0.0004405,0.0024853,0.0129929,0,0.0811835,0,0,0.0201793,0.0047976,3.95E-05,0,0,0,0,0,0,0.002622,0.0011048,0,0.0019567,8.06E-05,0.0007656,0,0.0036285,0,0.0003023
HSM7J4NU,0,0.007127,0.0010042,0.0016041,0.0127708,0.0006303,0.0032752,0,0,0.0150849,7.95E-05,0.0554549,0,0,0.0140674,0,3.50E-06,0.0020283,0.0359183,0.0325502,0,0,0.0791768,0,0.049429,0.0059093,0,0.0597523,0,0,0,0.142186,0.0188786,0,0,0,0.0145345,0.0033586,0.0015708,0.000136,0.000395,0.000984,0.0039782,0,0.00083,0,0.0078891,0.0034247,0.0238341,0.017016,0,0.0107572,0.0010221,0.0010621,0.0050925,0,0,0,0.000531,0.0002541,0.0001075,0.0100079,0,0.002268,0.0004361,0.153091,0,0,0.0003293,0.0646167,0,0,0.010956,0.0001583,4.38E-05,0.0007479,0.0023615,0.0033661,0.0004536,0,0.0077145,0.0021119,0,0,0.0005559,0,2.56E-05
HSM7J4O1,0.0044714,0,0.0018508,0,0.0021438,0.0879211,0,0.0380237,0,0.0408573,3.20E-06,0,0,1.13E-05,0.0182752,0,0.218376,0.0241662,0.0772259,0.060711,0,0,0,0,0.0135094,0,0.0344441,0.0320227,0,0,0,0,0.00807,0.0204945,0.107816,0.0155488,0,0,0.0012382,0,0.000105,4.39E-05,0.0106321,0,1.31E-05,0.0013266,1.08E-05,0.0011051,0.0196872,0.009268,0,0.0036201,0.0009188,0.0019852,0.0032981,0,0.0005649,0,8.10E-06,0,0,0,0.0002089,0.0055691,0,0.0357453,0.0209861,0,0.0068448,0.0401858,0,0,0.0037044,0,0,0,0,0.000299,0.0033316,0,0,0.0002317,7.40E-05,0,0,0.0017659,0
HSM7J4O3,0.0069977,0,0.0091808,0,0.0062378,0.0578745,0,0.017202,0,0.0110797,1.28E-05,0.0004712,0,0,0.0230898,0,0.159557,0.0073379,0.113492,0.0684298,0.0002066,0,0,0,0.0183365,0,0.0450453,0.0470301,0,0,0,2.06E-05,0.0270746,0.0496269,0.146573,0.0384296,0,0,4.41E-05,0,0,0.0005008,0.0133598,0,0,0.0002929,0.0004186,0.0006235,0.006452,0.0065482,4.30E-06,0,5.88E-05,0.0067881,0.0095876,0,0.0019551,0,0,0.0001603,0,4.60E-06,2.68E-05,0.0024133,0,0.014335,0.0417978,0,0.0013972,0.0268901,0,0,0.0062519,0,0,0,0,9.36E-05,0.0005871,0,0,0.0001499,0,0,0,0.0005611,0
HSM7J4OE,0.0025119,0,0.0019796,0,0,0.022968,0,0.0044457,0,0.0043485,0,7.61E-05,0,0,0.0061747,0,0.022739,0.000374,0.0094384,0.1039,0.0021648,0.00578,0.0174754,0,0.0039668,0.0094381,0,0.0147517,0,7.90E-06,0.0001568,0,0.0069756,0.0017682,0.0378484,0.0095722,0,0,2.29E-05,0,0,0,0.0001248,0,0,7.82E-05,0,0.0006241,0.133876,0.0002767,0,0,3.96E-05,0.0037496,0.0102544,0.0004288,0,0,0.0005181,0.0031924,0,0,0,0.0049507,0.0003645,0.0541911,0.0042056,0.0025097,0,0.0067064,0,0,0,0,0,0,1.44E-05,0.0001101,0.0008069,0,0.0009265,0,8.45E-05,0,0,0.0048361,0
HSM7J4OT,0.000303,7.87E-05,0.0089737,0,0.0001292,0.0001561,0,0,0,4.26E-05,0,0,0,0.0001332,0.0003528,0,0.0024683,0,0.0012015,0.000809,2.46E-05,0,0,0,0,0.0003575,2.28E-05,0.0004906,0,0,0,1.17E-05,2.45E-05,9.52E-05,0.0017062,0.0001119,0,0.0007253,0,0,0,0,0,0,0,0,0,2.66E-05,0.0076825,0.0002875,0,0,0,0.000279,0.000361,9.04E-05,0.0005377,0,2.75E-05,0.0001614,0,0,7.60E-06,0.0001745,0,0.0047777,0.000374,0,0,0.0003339,0,0,8.87E-05,1.79E-05,0.231426,0.0007248,0.355607,0.0002021,1.15E-05,0,0,0,0,0,0.188304,0,0
HSM7J4OZ,0,0,0.0011032,0,6.68E-05,0,0,0.0803198,0,0,0,0,0,0,0.130829,0,0.0003413,0.133867,0.0823321,0.0009266,0,0,0.0333641,0,0.0092802,0.0014725,0,0.133687,0,0.0207971,0.0409361,0,0.002062,0.0161471,0,0,0.0055633,0,0.0013818,0,0,0,0.0562279,0,0.0002242,0.0001463,0.0159041,0,0.001091,0,0,0,7.55E-05,7.53E-05,0.0004251,0,0.000382,0,0.0006088,0,0.0538104,0,0,0.001756,0,0.0829041,0.0306435,0,0,0.0027527,0,0,0.0023618,0.0010965,0.0004882,0.0066888,0.016557,0.0007735,0.0003034,0,0.0014638,0,0,0,0.0061832,0,0.014162
HSM7J4PE,0.0150421,0.0028731,0.0013598,0,0.0052626,0,0,5.71E-05,0,0.0001734,0,0,0.0001476,0.0304078,0.0182795,0,0.129142,0.0041442,0.0282061,0.0342321,0.0001563,0.0011306,0.0010383,0,0.0027,0,0.0003138,0.0064835,0,0,0,0.0069156,0,0.0005116,0.0120056,0.0015918,0,0.0029457,7.67E-05,0,0,0,5.52E-05,0,0.0059156,0,0.0035276,0.0002909,0.0904587,0.006767,0,0.0032377,0,0.0008307,0.0021912,0.0026041,0.0051924,0.0001671,0,0,0,0.0114426,0,0.0038815,0,0.219385,0,0,0,0.0205573,0,0,0,0.0003311,0.0007852,0.0002779,0.0026938,0,0.0001759,0.0204278,0.0019824,0.0039548,0.0002584,0,0.0262581,0,0
HSM7J4PW,3.64E-05,0,0.0001037,0,0,0,0,0,0,6.50E-06,0,0.0883662,0,7.81E-05,0.0343256,0,0.104493,0.0390956,0.0658728,8.42E-05,0.0028784,0,0,0,0,0,0,0,0.108047,0,0,0,0.0408912,0.0692945,0,0,0.0767439,0.0002149,0.0170348,0,7.80E-06,2.59E-05,0,0,0.0017208,0.0005159,0,0.0003999,0.0147913,0,0.0001541,0,0,0.0004478,0.0233545,0.0025442,0.0011963,0,0.0064202,0.0009391,0.0002189,0.0078707,0.0216235,0.0035695,0,0.0864731,0,0,0,0.088407,0,0,0.0083869,0,0.0003057,0.0002865,0.0003128,0.0051735,0.0067924,0,0,0,0,0,9.54E-05,0.050107,0
HSM7J4QB,0,0,0.001141,6.17E-05,0.0015726,0.0329769,0,0,0,0,0,0.201824,0,0,0.0019011,0,8.43E-05,0.0245801,0,7.53E-05,0,0,0,0,0,0,0,0,6.23E-05,0,0,0,0,0,0,0,0,0,8.19E-05,0,0,0,0,6.95E-05,0.0001659,0.0005365,0,0,0.180142,0,0,0,0.042335,0,0.0043683,0,0,0,0.0003811,0,0.136274,0,0,0,0,0.12292,1.39E-05,0,0,0.0026936,0.0022758,0,0.0010414,0.0013173,0.001401,0.0373155,0.0742765,0,0,0.0479042,0,0.0244053,0,0,0.0465828,0,0
HSM7J4QT,0,0,0.0030955,0,0,0.0254471,0,2.83E-05,0,0,0,0.0185749,0.0006449,0,0.002846,0,5.87E-05,0.0010356,0.162706,0.0845111,0.0050385,0.0019612,0,0,0.00653,0,0,0.0114016,0,0,0,0,0,0.0192554,0.0527007,0,0,0,0.0038275,0,0,0.0001056,0.002679,0,0.0006314,0.0013913,0,0.0006143,0.164992,0,0,0,0.001953,0.0009906,0.023014,0.001566,0.0006702,0,0.0039578,0,0,0,3.61E-05,0.0217149,0,0.156176,0.0200765,0,0.0027386,0.0238339,0,0,0.110504,0,0,0,0,0.004578,0.0073938,0,0.0143429,0.0219892,0,0,0,0,0.0021495
HSM7J4R2,0,0,0.000134,0,0,0,0,0,0,0,0,0,0,0.35224,0.0226663,0,0.272674,0,0,5.10E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0065044,0.0130526,0,0.0052683,0,0,6.87E-05,0,0,1.86E-05,0.0067373,0,0,0.000792,0.0017362,0.0005829,0.0333618,0,0,0,0.0029454,0.0004093,0.003872,0.0002805,0.0009821,0.0254054,9.47E-05,0.0019513,0.008686,0.0058323,0.000298,0.0044937,0.000751,0.163419,0.0080736,0,0,0.0071,0,0,0.0018737,0,0,8.30E-06,6.92E-05,0.0030011,0.0015045,0,0.00832,0,0,0,9.82E-05,0.0018229,0.0001476
HSMA33J5,0.0044235,0,7.08E-05,0,0,0,0,3.98E-05,0,0,0,0,0,0,0.0239898,0.0008107,0.0119888,0.0019079,0.0101098,0.0216819,0.0030157,0.0007919,0.0027357,0,0.0023309,0,0,0.0079165,0,0.0006169,0.0014357,0.432428,0,0.0005581,0.0305959,0.0025855,0,0,2.22E-05,0,0,0,0.0015189,0,0,0,0,0.0015587,0.0282,0,0,0.0071971,0.0071851,0.0007911,0.0014789,0.0006467,0.0035199,0.000314,0.0003983,0.0009194,0.000955,0.0004805,0.0030227,0.0007193,0.0002296,0.299391,0,0,0.0013073,0.0030207,0,0,0,0,0,0,0.0001169,0,0,0.0125341,2.17E-05,0.0025897,0.0010293,0,0.000851,0,0
HSMA33J9,0.0280379,0,3.90E-05,0,0,0,0,0.0002686,0,0,0,0,0,0,0.0102196,0.0010893,0.0489536,0.0079119,0.0230008,0.0433625,0.0028968,0.0052409,0.0162951,0,0.0103858,1.60E-05,0.0017655,0.0261073,0,0.000636,0.0017846,0.012645,0,0.0055185,0.0402252,0.0030633,0,0,0.0015166,0.0001732,0,1.22E-05,0.0116629,0.0003132,0,0.0023874,0,0.0047717,0.0585206,0,0,0.0089571,0.001474,0.0006984,0.0102943,0.0016294,0.0073251,0,0.0010087,0.0001532,0.0017296,0.008878,0,0.0004398,0.0004062,0.225784,0,0,0.0027064,0.0286273,0,0,0,0,0,0,0,0.0001325,6.91E-05,0.023082,0.001118,0.0272109,0,0,0,0,0.190377
HSMA33JB,0.002649,0,0.0024935,0,0,0.0369407,0,0.0023268,0,0.0117086,0,0.0001061,0,0,0.0126744,0,0.052071,0.0003444,0.0237989,0.0759907,0.0044812,0.0509649,0.0177143,0,0.0063633,0.0114507,0,0.022263,0,0,0,0,0.0281801,0.0164707,0.0953538,0.0123373,0,0,0,0,0,0,0.0002674,0,0,0.0002355,0,0.000429,0.0700992,0.000176,0,0,0,0.002038,0.0066412,0.0005371,0,0,0.0003467,0.0003181,0,0,0.0006538,0.0031809,0,0.0238379,0.0047575,0.0001065,0,0.0057269,0,0,0,0,0,9.62E-05,1.52E-05,0.0001545,0.0015188,0,0.000744,0,0,0,0,0.023293,0
